Image Name,Main Color 1,Main Color 1 %,Main Color 2,Main Color 2 %,Main Color 3,Main Color 3 %,Unique Color Count,Average Color
1188734335747977.jpg,"[26, 35, 82]",50.28,"[191, 164, 162]",8.52,"[71, 84, 137]",32.86,4023,"[72.5143, 75.67717777777777, 117.20853333333334]"
1189930882067212.jpg,"[241, 146, 74]",12.36,"[34, 52, 104]",32.24,"[217, 199, 196]",7.64,3964,"[71.7589, 69.44847777777778, 94.31676666666667]"
1190480482183853.jpg,"[245, 246, 248]",8.36,"[56, 56, 99]",31.91,"[118, 89, 114]",31.43,4918,"[93.41871111111111, 83.528, 111.38678888888889]"
1191079508862950.jpg,"[18, 22, 52]",27.31,"[151, 143, 162]",7.37,"[138, 65, 60]",6.63,4155,"[61.55918888888889, 62.2011, 103.94875555555555]"
1192311745346342.jpg,"[98, 105, 145]",13.88,"[235, 237, 241]",27.27,"[29, 39, 78]",37.38,3788,"[130.09803333333332, 122.35132222222222, 146.48461111111112]"
1193574338451236.jpg,"[14, 15, 31]",48.62,"[238, 237, 239]",6.15,"[153, 108, 108]",8.94,3152,"[55.725233333333335, 52.48608888888889, 71.8959111111111]"
1192580535323762.jpg,"[22, 31, 51]",32.81,"[195, 201, 211]",21.78,"[166, 123, 88]",12.8,4778,"[111.56877777777778, 108.43843333333334, 107.89392222222222]"
1203231817589008.jpg,"[20, 22, 53]",26.37,"[89, 107, 155]",20.77,"[228, 217, 216]",11.12,4636,"[72.03007777777778, 73.16376666666666, 110.96323333333333]"
1203908624176581.jpg,"[100, 177, 196]",18.9,"[27, 36, 47]",25.34,"[73, 87, 94]",29.62,4918,"[99.61772222222223, 118.3270888888889, 125.5513111111111]"
1204360710909711.jpg,"[162, 200, 175]",12.81,"[189, 9, 18]",18.71,"[41, 121, 114]",15.59,3405,"[172.94945555555555, 157.5714, 147.90364444444444]"
1204325257447016.jpg,"[29, 32, 37]",43.96,"[248, 189, 15]",8.3,"[189, 163, 123]",14.98,4484,"[113.55027777777778, 102.62725555555555, 77.13415555555555]"
1205924660742189.jpg,"[132, 120, 130]",17.89,"[13, 8, 13]",39.79,"[230, 228, 230]",12.84,4198,"[86.74865555555556, 68.83511111111112, 79.1006]"
1205887387530848.jpg,"[246, 247, 248]",7.52,"[20, 22, 43]",60.23,"[136, 104, 108]",4.65,4054,"[59.31115555555556, 57.38045555555556, 75.3442]"
1207655467102334.jpg,"[153, 108, 109]",8.94,"[14, 15, 31]",48.62,"[37, 43, 95]",33.08,3152,"[55.725233333333335, 52.48608888888889, 71.8959111111111]"
1206840920593328.jpg,"[37, 26, 48]",19.08,"[243, 236, 241]",7.92,"[157, 107, 103]",8.44,2807,"[50.27384444444444, 37.76718888888889, 49.43107777777778]"
1209505590056543.jpg,"[134, 5, 6]",36.78,"[247, 242, 239]",7.26,"[74, 4, 4]",30.44,1434,"[101.42954444444445, 25.3676, 25.36572222222222]"
1211908920091508.jpg,"[15, 38, 86]",19.98,"[239, 247, 252]",43.02,"[160, 171, 205]",7.07,2391,"[133.87187777777777, 146.0102222222222, 175.9323777777778]"
1212296350097349.jpg,"[46, 58, 102]",40.51,"[233, 215, 211]",10.91,"[90, 101, 143]",32.21,3819,"[90.38385555555556, 90.17283333333333, 120.89324444444445]"
1212413370092508.jpg,"[38, 49, 32]",23.69,"[105, 111, 130]",19.09,"[247, 188, 19]",12.73,4458,"[91.82924444444444, 95.83155555555555, 88.9085]"
1214125929732256.jpg,"[46, 58, 102]",40.51,"[233, 215, 211]",10.91,"[90, 101, 143]",32.2,3819,"[90.38385555555556, 90.17283333333333, 120.89324444444445]"
1219281489117425.jpg,"[8, 7, 11]",61.64,"[157, 107, 103]",8.44,"[243, 236, 241]",7.93,2807,"[50.27384444444444, 37.76718888888889, 49.43107777777778]"
1221080805907712.jpg,"[9, 9, 22]",38.31,"[247, 192, 13]",6.2,"[154, 105, 102]",12.83,3103,"[66.66558888888889, 59.21858888888889, 70.07277777777777]"
1220838199183607.jpg,"[245, 246, 248]",9.29,"[36, 34, 76]",43.31,"[75, 88, 141]",37.01,3768,"[87.04918888888889, 85.19205555555556, 123.20456666666666]"
1221248025961558.jpg,"[201, 33, 50]",1.99,"[26, 35, 82]",50.28,"[241, 242, 246]",6.34,4023,"[72.5143, 75.67717777777777, 117.20853333333334]"
1222734892204588.jpg,"[100, 177, 196]",18.91,"[27, 36, 47]",25.19,"[72, 87, 93]",29.66,4918,"[99.61772222222223, 118.3270888888889, 125.5513111111111]"
1223739008662394.jpg,"[79, 92, 153]",37.91,"[168, 91, 84]",7.64,"[18, 18, 35]",25.14,3574,"[78.99847777777778, 77.47505555555556, 113.63663333333334]"
1224496678562382.jpg,"[119, 91, 77]",14.31,"[242, 239, 240]",10.82,"[18, 21, 29]",29.54,4706,"[105.37994444444445, 89.91367777777778, 83.59562222222222]"
1225371942218631.jpg,"[74, 132, 49]",18.13,"[252, 252, 251]",16.04,"[29, 36, 18]",22.32,4444,"[142.28273333333334, 150.6211111111111, 127.62626666666667]"
1228050565186383.jpg,"[20, 26, 62]",35.87,"[70, 88, 123]",37.06,"[238, 239, 240]",5.72,4524,"[85.00457777777778, 89.57346666666666, 105.88663333333334]"
1228030791696433.jpg,"[37, 54, 109]",39.29,"[156, 116, 109]",9.92,"[245, 185, 17]",7.62,4025,"[68.64552222222223, 72.96824444444445, 95.88177777777778]"
1228851978057305.jpg,"[98, 123, 169]",26.48,"[237, 228, 226]",11.98,"[20, 26, 54]",23.78,4558,"[85.60152222222223, 91.20694444444445, 122.95528888888889]"
1229962305114520.jpg,"[9, 3, 2]",36.55,"[198, 101, 19]",19.36,"[250, 249, 247]",5.46,3581,"[99.24823333333333, 58.792477777777776, 29.959555555555557]"
